symbol,log_return
PM,2.2138139198243008
T,2.1332387177146392
BK,2.0103420866337616
RTX,1.7799157244292778
WMT,1.7526796731845404
GILD,1.6458366127071433
MO,1.600317622275664
ICE,1.5525147031063573
NFLX,1.4095618621858421
SO,1.3503318166935985
PGR,1.329787187506682
DUK,1.3195078298748995
GE,1.3140023684090287
GS,1.2892340883537294
ADP,1.248693335206059
COST,1.1870221756541974
V,1.1478022551695675
SPGI,1.1065187655800435
CSCO,1.0971369144592515
MS,1.095355225850447
IBM,1.0829433414768397
AAPL,1.0566937869016448
MMC,1.0400547302426097
ORLY,0.9546367577691233
AON,0.9485746114233634
ISRG,0.9424426989389837
KO,0.886803182608341
ALL,0.8794600495515578
APD,0.8766330721117233
BLK,0.8181921946412823
AXP,0.8177325493678577
VRTX,0.8085821363776985
MA,0.8007678565015187
COF,0.7811481899787974
DE,0.7394186454429961
TSLA,0.7107351805485933
CB,0.6920436738757861
C,0.6792392927137786
META,0.6614655565595182
BAC,0.6548843372459299
ABBV,0.6261374022501144
AVGO,0.6103061621416943
ECL,0.5844524979869286
MCD,0.49896097974562204
GM,0.4867539422627519
AIG,0.44319630328400794
AMZN,0.43925998883477985
AMGN,0.4387001331838039
NVDA,0.43659259204981854
NEE,0.42367027176128064
GOOG,0.4167328130698472
SCHW,0.414822464169235
MDT,0.3943860586076367
LLY,0.35996524362266996
SYK,0.33689311471511246
JNJ,0.30630890061780175
TXN,0.27475216145204767
CVX,0.26938834815049506
NOW,0.24883713306526406
ADI,0.22441471350218886
UNH,0.20819192255793514
FIS,0.18673491677467027
CL,0.13844687193160368
HCA,0.07140255059106645
XOM,0.049433373179365366
USB,0.018953108190189548
SHW,0.009482814956450127
ETN,-0.08613626298060954
ZTS,-0.11333006975850594
LIN,-0.11542687662658652
LMT,-0.11935858303675281
QCOM,-0.12013432993011702
CAT,-0.15240173066268725
BA,-0.16928320841863317
UNP,-0.17994208767427392
NSC,-0.19930703244644649
HD,-0.24306988050878747
BDX,-0.27798236690065536
ACN,-0.3406947479420771
MSFT,-0.3433725954893971
LOW,-0.3890468615897472
CI,-0.4073439536602181
TMO,-0.4691804935199211
FDX,-0.4808057272395046
PLD,-0.5423396292627709
EW,-0.5947693290443093
F,-0.6189288746646102
DHR,-0.6291076260481335
AMAT,-0.6930399351102706
ADBE,-0.7095491215866633
PSX,-0.78330659552845
PEP,-0.9059977665956591
INTC,-0.9234829243328492
UPS,-1.0164178175247223
TGT,-1.2387484380967877
MRK,-1.288284345657356
REGN,-1.459576763783803
EL,-1.5220831227530107
BIIB,-1.6563613850955283
